Algorithm,City One,City Two,Average Time,Path Length
breadth_first_search,Mehadia,Zerind,1.3979999494040385e-05,5
depth_first_search,Mehadia,Zerind,2.0709999807877467e-05,9
uniform_cost_search,Mehadia,Zerind,1.486999899498187e-05,5
iterative_deepening,Mehadia,Zerind,3.595000089262612e-05,5
greedy_search,Mehadia,Zerind,0.0015965699996741023,5
a_star_search,Mehadia,Zerind,0.0014134300014120526,5
breadth_first_search,Mehadia,Giurgiu,2.702000201679766e-05,6
depth_first_search,Mehadia,Giurgiu,9.95000300463289e-06,6
uniform_cost_search,Mehadia,Giurgiu,2.6889999571722e-05,6
iterative_deepening,Mehadia,Giurgiu,4.952999879606068e-05,6
greedy_search,Mehadia,Giurgiu,0.002504469999985304,6
a_star_search,Mehadia,Giurgiu,0.0018951399993966333,6
breadth_first_search,Mehadia,Iasi,3.6419998650671914e-05,8
depth_first_search,Mehadia,Iasi,7.570000889245421e-06,8
uniform_cost_search,Mehadia,Iasi,3.356999877723865e-05,8
iterative_deepening,Mehadia,Iasi,0.0001332299994828645,8
greedy_search,Mehadia,Iasi,0.0038780800008680672,8
a_star_search,Mehadia,Iasi,0.003518080000503687,8
breadth_first_search,Mehadia,Oradea,2.1359999664127827e-05,6
depth_first_search,Mehadia,Oradea,2.1740001102443784e-05,10
uniform_cost_search,Mehadia,Oradea,2.3299999156733975e-05,6
iterative_deepening,Mehadia,Oradea,4.926999899907969e-05,6
greedy_search,Mehadia,Oradea,0.0017839699998148718,6
a_star_search,Mehadia,Oradea,0.001552729998365976,6
breadth_first_search,Mehadia,Sibiu,1.5410000924021005e-05,5
depth_first_search,Mehadia,Sibiu,1.1780000204453244e-05,7
uniform_cost_search,Mehadia,Sibiu,1.875000016298145e-05,5
iterative_deepening,Mehadia,Sibiu,3.241000158595853e-05,5
greedy_search,Mehadia,Sibiu,0.0017070300003979356,5
a_star_search,Mehadia,Sibiu,0.0016007999998691957,5
breadth_first_search,Eforie,Zerind,5.042999910074286e-05,8
depth_first_search,Eforie,Zerind,1.9049999536946416e-05,14
uniform_cost_search,Eforie,Zerind,3.5719999141292645e-05,9
