Algorithm,City One,City Two,Average Time,Path Length
a_star_search,Sibiu,Zerind,4.788999976881314e-05,3 
breadth_first_search,Sibiu,Mehadia,2.2640000497631264e-05,5 
depth_first_search,Sibiu,Mehadia,1.0169999950448982e-05,7 
uniform_cost_search,Sibiu,Mehadia,2.8309999834164046e-05,5 
iterative_deepening,Sibiu,Mehadia,4.1770000098040325e-05,5 
greedy_search,Sibiu,Mehadia,3.420999964873772e-05,5 
a_star_search,Sibiu,Mehadia,0.00010765999995783204,5 
breadth_first_search,Sibiu,Hirsova,2.600999960122863e-05,5 
depth_first_search,Sibiu,Hirsova,5.8500001614447685e-06,5 
uniform_cost_search,Sibiu,Hirsova,2.83499997749459e-05,6 
iterative_deepening,Sibiu,Hirsova,5.749000047217123e-05,5 
greedy_search,Sibiu,Hirsova,3.681999951368198e-05,5 
a_star_search,Sibiu,Hirsova,9.726000043883687e-05,6 
breadth_first_search,Sibiu,Iasi,2.8449999990698416e-05,6 
depth_first_search,Sibiu,Iasi,4.799999805982224e-06,6 
uniform_cost_search,Sibiu,Iasi,3.376999993633945e-05,7 
iterative_deepening,Sibiu,Iasi,7.9090000326687e-05,6 
greedy_search,Sibiu,Iasi,1.714999998512212e-05,0 
a_star_search,Sibiu,Iasi,0.00011749999976018444,7 
breadth_first_search,Sibiu,Urziceni,1.883000004454516e-05,4 
depth_first_search,Sibiu,Urziceni,5.18000033480348e-06,4 
uniform_cost_search,Sibiu,Urziceni,2.296999991813209e-05,5 
iterative_deepening,Sibiu,Urziceni,2.1100000049045774e-05,4 
greedy_search,Sibiu,Urziceni,3.028999963134993e-05,4 
a_star_search,Sibiu,Urziceni,6.305999977485044e-05,5 
breadth_first_search,Sibiu,Pitesti,1.2769999921147246e-05,3 
depth_first_search,Sibiu,Pitesti,7.379999988188501e-06,4 
uniform_cost_search,Sibiu,Pitesti,9.169999793812167e-06,3 
iterative_deepening,Sibiu,Pitesti,9.71000008576084e-06,3 
greedy_search,Sibiu,Pitesti,2.013000012084376e-05,3 
a_star_search,Sibiu,Pitesti,3.870000018650899e-05,3 
breadth_first_search,Zerind,Mehadia,2.0819999917875975e-05,5 
depth_first_search,Zerind,Mehadia,3.729999843926635e-06,5 
uniform_cost_search,Zerind,Mehadia,1.6520000099262688e-05,5 
iterative_deepening,Zerind,Mehadia,2.5740000273799525e-05,5 
greedy_search,Zerind,Mehadia,2.1629999901051632e-05,5 
a_star_search,Zerind,Mehadia,7.700000023760367e-05,5 
breadth_first_search,Zerind,Hirsova,3.435000016906997e-05,7 
depth_first_search,Zerind,Hirsova,1.2570000217237976e-05,11 
uniform_cost_search,Zerind,Hirsova,6.260999962250934e-05,8 
iterative_deepening,Zerind,Hirsova,0.00010010000005422626,7 
greedy_search,Zerind,Hirsova,4.309999985707691e-05,7 
a_star_search,Zerind,Hirsova,0.00015621999991708436,8 
breadth_first_search,Zerind,Iasi,3.806000004260568e-05,8 
depth_first_search,Zerind,Iasi,9.029999819176738e-06,12 
uniform_cost_search,Zerind,Iasi,5.2880000112054404e-05,9 
iterative_deepening,Zerind,Iasi,0.00015888000052655116,8 
greedy_search,Zerind,Iasi,2.466000005370006e-05,0 
a_star_search,Zerind,Iasi,0.0001704599999357015,9 
breadth_first_search,Zerind,Urziceni,5.894999958400149e-05,6 
depth_first_search,Zerind,Urziceni,9.190000128000975e-06,10 
uniform_cost_search,Zerind,Urziceni,3.302000004623551e-05,7 
iterative_deepening,Zerind,Urziceni,5.5920000340847766e-05,6 
greedy_search,Zerind,Urziceni,4.736999981105328e-05,6 
a_star_search,Zerind,Urziceni,8.860999969328986e-05,7 
breadth_first_search,Zerind,Pitesti,2.0620000213966705e-05,5 
depth_first_search,Zerind,Pitesti,5.9800002418342045e-06,8 
