Algorithm            ,City One              ,City Two        ,Average Time           ,Path Length
breadth_first_search ,Fagaras               ,Lugoj           ,2.3239999427460135e-05 ,          5
depth_first_search   ,Fagaras               ,Lugoj           ,1.0920000204350799e-05 ,          7
uniform_cost_search  ,Fagaras               ,Lugoj           ,2.8769999698852188e-05 ,          5
iterative_deepening  ,Fagaras               ,Lugoj           ,6.573000064236112e-05  ,          5
greedy_search        ,Fagaras               ,Lugoj           ,2.9949999952805228e-05 ,          5
a_star_search        ,Fagaras               ,Lugoj           ,8.077999955276027e-05  ,          5
breadth_first_search ,Fagaras               ,Vaslui          ,2.2360000730259345e-05 ,          4
depth_first_search   ,Fagaras               ,Vaslui          ,3.590000051190145e-06  ,          4
uniform_cost_search  ,Fagaras               ,Vaslui          ,2.5129999266937374e-05 ,          4
iterative_deepening  ,Fagaras               ,Vaslui          ,2.7830000544781796e-05 ,          4
greedy_search        ,Fagaras               ,Vaslui          ,2.5850000747595912e-05 ,          4
a_star_search        ,Fagaras               ,Vaslui          ,7.369000049948227e-05  ,          4
breadth_first_search ,Eforie                ,Zerind          ,2.4140000095940196e-05 ,          8
depth_first_search   ,Eforie                ,Zerind          ,1.9690000044647604e-05 ,         14
uniform_cost_search  ,Eforie                ,Zerind          ,3.3489999987068585e-05 ,          9
iterative_deepening  ,Eforie                ,Zerind          ,6.648000089626294e-05  ,          8
greedy_search        ,Eforie                ,Zerind          ,4.770000050484669e-05  ,          8
a_star_search        ,Eforie                ,Zerind          ,0.00011125999990326818 ,          9
breadth_first_search ,Eforie                ,Lugoj           ,2.9149999681976625e-05 ,          9
depth_first_search   ,Eforie                ,Lugoj           ,1.0800000382005237e-05 ,          9
uniform_cost_search  ,Eforie                ,Lugoj           ,3.490999879431911e-05  ,          9
iterative_deepening  ,Eforie                ,Lugoj           ,9.643999983381946e-05  ,          9
greedy_search        ,Eforie                ,Lugoj           ,5.22300000739051e-05   ,          9
a_star_search        ,Eforie                ,Lugoj           ,0.0001856000002590008  ,          9
breadth_first_search ,Eforie                ,Vaslui          ,1.3760000001639128e-05 ,          4
depth_first_search   ,Eforie                ,Vaslui          ,1.058999914675951e-05  ,          4
uniform_cost_search  ,Eforie                ,Vaslui          ,1.5179999900283292e-05 ,          4
iterative_deepening  ,Eforie                ,Vaslui          ,1.6050000340328552e-05 ,          4
greedy_search        ,Eforie                ,Vaslui          ,1.6680000044289045e-05 ,          0
a_star_search        ,Eforie                ,Vaslui          ,6.575000006705522e-05  ,          4
breadth_first_search ,Zerind                ,Lugoj           ,2.9690000155824235e-05 ,          4
depth_first_search   ,Zerind                ,Lugoj           ,6.230000508367084e-06  ,          4
uniform_cost_search  ,Zerind                ,Lugoj           ,2.745000019785948e-05  ,          4
iterative_deepening  ,Zerind                ,Lugoj           ,1.793000010366086e-05  ,          4
greedy_search        ,Zerind                ,Lugoj           ,1.9490000340738334e-05 ,          4
a_star_search        ,Zerind                ,Lugoj           ,4.5429999590851364e-05 ,          4
breadth_first_search ,Zerind                ,Vaslui          ,3.761000007216353e-05  ,          7
depth_first_search   ,Zerind                ,Vaslui          ,9.560000034980475e-06  ,         11
uniform_cost_search  ,Zerind                ,Vaslui          ,5.207999965932686e-05  ,          8
iterative_deepening  ,Zerind                ,Vaslui          ,0.00015128999984881375 ,          7
greedy_search        ,Zerind                ,Vaslui          ,2.7810000028694047e-05 ,          0
a_star_search        ,Zerind                ,Vaslui          ,0.00013557999991462567 ,          8
breadth_first_search ,Lugoj                 ,Vaslui          ,3.4270000105607325e-05 ,          8
